parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,target
17110996,,,,2.5,3,,,2.5,,632,1371,1371,,,632,,6111,,2,2,447,,,34238229,-119170633,3445,,,,,,1111,261,,61110050.04,13150,2061,,97107,5,,1,,,,,2004,2,,99026,198054,2016,99028,2204.84,,,61110050041163,0.008668896267
14375300,13,,,2,4,,,2,,,1677,1677,,,,,6059,,2,2,420,,,33642800,-117707211,5304,,,,,,122,261,,60590524.08,32380,1286,,96962,8,,,,,,,1981,1,,169118,528847,2016,359729,5496.44,,,60590524081002,-0.02189601553
12045625,1,,,3,3,,8,3,,,1435,1435,,,,,6037,,3,,,,2,34212400,-118238000,45171,,,,,,010C,266,GLR3*,60373006,45457,3101,274582,96275,0,,,,1,,,1981,,,169727,259197,2016,89470,2831.48,,,60373006003007,-0.01716683737
11830315,,,,1,2,,4,1,,,1146,1146,,,,,6037,,1,,,,7,34024040,-118159090,4657,,,,,,100,261,LCR2YY,60375316.04,17882,3101,,96003,0,,,,1,,,1939,,,127960,273745,2016,145785,3739.02,,,60375316041001,-0.0350845937
14730402,,,,2,2,,,2,,,916,916,,,,,6059,,2,1,0,,,33660200,-117646000,,,,,,,34,266,,60590320.47,,1286,,96962,0,,,,,,,1980,,,74936,245910,2016,170974,2548.58,Y,15,60590320471001,-0.01204066441
12325145,1,,,2,3,,6,2,,,1092,1092,,,,,6037,,2,,,,2,33897676,-118169106,36005,,,,,,010C,266,PARM*,60375536.01,6395,3101,,96220,0,,,,1,,,1979,,,140581,178646,2016,38065,2391.69,Y,15,60375536011007,0.04246289715
14387959,,,,2.5,3,,,2.5,,,2074,2074,,,,,6059,1,2,2,485,,,33586693,-117697202,5600,,,,,,122,261,,60590423.27,25458,1286,,96971,7,,1,,,,,1978,2,,173269,597213,2016,423944,6172.28,,,60590423273002,-0.006653309312
14349322,,,,2.5,3,,,2.5,,,2018,2018,,,,,6059,,2,2,446,,,33728985,-117754647,2800,,,,,,122,261,,60590524.2,52650,1286,274815,96954,0,,1,,,,,1998,,,221433,534612,2016,313179,7141.56,,,60590524201100,0.04430902957
11706737,,,,1,2,,5,1,,,1316,1316,,,,,6037,,1,,,,,34009471,-118281052,5091,,,,,,100,261,LAC2,60372317.2,12447,3101,268496,96018,0,,,,1,,,1908,,,37663,171838,2016,134175,2220.23,Y,14,60372317202003,-0.1209758721
11671335,1,,,3,2,,9,3,,,2126,2126,,,,,6037,,3,,,,2,34074859,-118563050,221601,,,,,,010C,266,LARD3,60372626.01,12447,3101,19810,96120,0,,,,1,,,1983,,,276641,573247,2016,296606,6964.34,,,60372626011002,-0.0005456719974
12531488,,,,1,3,,4,1,,,1641,1641,,,,,6037,,1,,,,7,33760954,-118123592,5302,,,,,,100,261,LBR1S,60375776.04,46298,3101,416316,96237,0,,,,1,,,1944,,,98038,432754,2016,334716,5212.75,,,60375776035014,0.04204126153
14314879,,,,4.5,6,,,4.5,,,3870,3870,,,,,6059,2,4,3,720,,,33609965,-117850693,10050,1,,,,1,122,261,,60590626.44,53571,1286,28119,96957,11,,1,,,,,1972,2,,298263,2040000,2016,1741737,21758.26,,,60590626444017,-0.001475688941
11130689,1,,,2,3,,6,2,,,1538,1538,,,,,6037,,2,,,,2,34375142,-118559779,5997,,,,,,100,261,SCUR2,60379203.13,54311,3101,26134,96352,0,,,,1,,,1972,,,222238,401399,2016,179161,5438.41,,,60379203132000,0.02011018197
12036177,,,,2,3,,4,2,,,1851,1851,,,,,6037,,2,,,,7,34103373,-118293280,6714,,,,,,100,261,LARD1.5,60371892.01,12447,3101,274359,96008,0,,,,1,,,1920,,,32264,85035,2016,52771,1232.08,,,60371892012001,0.2064698699
14333888,,,,3,2,,,3,,,3230,3230,,,,,6059,,3,3,744,,,33760091,-117789669,18200,1,,,,1,122,261,,60590756.06,40081,1286,,97005,8,,,,,,,1967,1,,315683,954106,2016,638423,10696.14,,,60590756063008,-0.0253921179
12713253,,,,3,4,,8,3,,,2447,2447,,,,,6037,,3,,,,2,33770258,-118363785,7911,1,,,,1,101,261,RPRS10000*,60376704.03,54053,3101,,96122,0,,,,1,,,1967,,,320000,1083000,2016,763000,12371.76,,,60376704031017,0.02185250649
14338242,,,,2.5,4,,,2.5,,,1987,1987,,,,,6059,,2,2,448,TRUE,,33794052,-117769536,3600,,,1,,,122,261,,60590756.05,33252,1286,,97067,0,,1,,,,,1989,,,197651,703127,2016,505476,8287.36,,,60590756052002,-0.01954560002
11680471,,,,3,3,,,3,,,3641,3641,,,,,6037,,3,,,,2,34077252,-118663270,183383,1,,,,1,101,261,LCA11*,60378001.02,12520,3101,,96116,0,,,,1,,,1980,,,833933,1444248,2016,610315,16542.97,,,60378001023057,0.004328340728
12155445,,,,4,5,,7,4,,,3572,3572,,,,,6037,,4,,,,2,34209748,-118190041,20148,1,,,,1,101,261,LFR120000*,60374605.01,46080,3101,,96271,0,,,,1,,,1967,,,678493,1473080,2016,794587,17643.27,,,60374605013014,-0.04080656049
14736723,,,,1,1,,,1,,,630,630,,,,,6059,,1,1,0,,,33683491,-117651587,1819,,,,,,34,266,,60590524.27,32380,1286,,96946,0,,,,,,,1992,,,87040,183187,2016,96147,2236.6,,,60590524272002,-0.01886195243
10891778,1,,,3,2,,7,3,,,1480,1480,,,,,6037,,3,,,,2,34174800,-118383000,,,,,,,012C,266,LAR3,60371241.02,12447,3101,46795,96446,0,,,,1,,,2009,,,173161,367967,2016,194806,4499.16,,,60371241022002,-0.002520492642
14344863,,,,2.5,4,,,2.5,,,1979,1979,,,,,6059,1,2,2,446,,,33713632,-117765112,3936,,,,,,122,261,,60590525.25,52650,1286,276486,96954,8,,1,,,,,1977,2,,140369,800017,2016,659648,8138.06,,,60590525253000,-0.004855161383
11682477,,,,0,0,,,,,,,,,,,,6037,,,,,,,34045737,-118740777,6430,,,,,,010V,260,LCA11*,60378004.1,12520,3101,,96116,0,,,,,,,,,,400000,1300000,2016,900000,15311.27,,,60378004101046,0.02620821859
10852826,1,,,3,3,,7,3,,,2637,2637,,,,,6037,,3,,,,2,34164701,-118500753,8968,1,,,,1,101,261,LARE9,60371396,12447,3101,51906,96349,0,,,,1,,,1952,,,166645,833227,2016,666582,10149.06,,,60371396002007,-0.02433926522
14703637,,,,2.5,2,,,2.5,,,1024,1024,,,,,6059,,2,1,0,,,33516700,-117721000,,,,,,,1,266,,60590423.25,25459,1286,,96987,0,,1,,,,,1989,,,155000,418000,2016,263000,4244.64,,,60590423252001,-0.02318540844
13891704,,,,1,2,,,1,,,624,,,,,624,6059,,1,,,,,33606810,-117895719,2615,,,,,,38,246,,60590630.06,53571,1286,,96980,3,,,,2,,,1951,1,,74653,1825117,2016,1750464,19638.8,,,60590630061003,0.004809895571
10871883,,,,2,5,,6,2,,,1818,1818,,,,,6037,,2,,,,2,34209855,-118416304,7499,1,,,,1,101,261,LAR1,60371220,12447,3101,41131,96450,0,,,,1,,,1948,,,101968,166428,2016,64460,2196.73,,,60371220002007,0.05055591857
10900115,1,,,3,4,,6,3,,,3160,3160,,,,,6037,,3,,,,2,34155840,-118375588,16506,,,,,,100,261,LAR1,60371254.02,12447,3101,46795,96447,0,,,,1,,,1941,,,284498,691816,2016,407318,8451.5,,,60371254022013,0.01090181622
11737342,,,,2,2,,6,2,,,1529,1529,,,,,6037,,2,,,,7,34043198,-118355618,3640,,,,,,100,261,LARD1.5,60372183,12447,3101,274514,96000,0,,,,1,,,1928,,,167633,657099,2016,489466,7999.31,,,60372183004002,-0.1347615619
12106936,,,,2,3,,6,2,,,1447,1447,,,,,6037,,2,,,,7,34166370,-118151336,7283,,,,,,100,261,PSR*,60374616,47019,3101,274695,96291,0,,,,1,,,1901,,,57734,70755,2016,13021,1050.39,,,60374616001002,0.07515621638
12105191,1,,,2,2,,6,2,,,829,829,,,,,6037,,2,,,,2,34158500,-118143000,16378,,,,,,010C,266,PSR3,60374620.01,47019,3101,274695,96292,0,,,,1,,,1991,,,133200,276147,2016,142947,3309.81,,,60374620012006,0.08273351764
11740609,1,,,3,2,,7,3,,,1110,1110,,,,,6037,,3,,,,2,34048900,-118369000,8500,,,,,,010C,266,LAR3,60372167,12447,3101,275024,96016,0,,,,1,,,2006,,,450000,563000,2016,113000,6727.01,,,60372167001007,0.05420282046
11405344,,,,1,3,,5,1,,,872,872,,,,,6037,,1,,,,,33955053,-118344280,5566,,,,,,100,261,INP1YY,60376010.02,45888,3101,,96133,0,,,,1,,,1922,,,62986,248916,2016,185930,3557.65,,,60376010021008,-0.01428000959
13043344,1,,,5,4,,10,5,,,5492,5492,,,,,6037,,5,,,,2,34144603,-117818513,67316,1,,,,1,103,261,GDRHR,60374004.02,11626,3101,,96486,0,,,,1,,,2006,,,1177804,1814004,2016,636200,20454.76,,,60374004021001,-0.2594476592
11036179,,,,3,4,,6,3,,,2317,2317,,,,,6037,,3,,,,7,34247194,-118443255,8703,1,,,,1,101,261,LAR1,60371192.01,12447,3101,268002,96361,0,,,,1,,,1953,,,124140,309821,2016,185681,3896.48,,,60371192013006,0.01970074646
14455676,,,,5,4,,,5,,,4468,4468,,,,,6059,,4,2,704,,,33475575,-117593484,7900,,,,,,1,261,,60590320.23,13693,1286,,96983,0,,2,,,,,2007,,,870000,1279000,2016,409000,19822.16,,,60590320231021,0.04233639806
13038483,1,,,2,2,,8,2,,,1660,1660,,,,,6037,,2,,,,2,34141077,-117859093,1224,,,,,,010D,269,GDR_GA_PD,60374010.02,11626,3101,,96486,0,,,,1,,,1987,,,164721,341921,2016,177200,4082.74,,,60374010022032,0.04017731218
14463877,,,,2.5,3,,,2.5,,,1734,1734,,,,,6059,,2,2,465,,,33562809,-117631225,2765,,,,,,122,261,,60590320.57,52835,1286,,96998,0,,1,,,,,2000,,,151315,638000,2016,486685,9013.36,,,60590320571017,0.04571776809
10828742,,,,2,3,,8,2,,,1815,1815,,,,,6037,,2,,,,2,34205109,-118454045,10311,1,,,,1,101,261,LARE11,60371272.2,12447,3101,41466,96414,0,,,,1,,,1958,,,60656,103293,2016,42637,1498.58,,,60371272202001,-0.0695836678
13022358,,,,1,2,,5,1,,,609,609,,,,,6037,,1,,,,7,34110426,-117919759,8997,,,,,,100,261,LCA105,60374045.01,37015,3101,,96464,0,,,,1,,,1948,,,56171,162320,2016,106149,2251.73,Y,15,60374045011006,0.1029678462
17153340,,,,3.5,2,,,3.5,,4018,4018,4018,,,4018,,6111,3,3,2,0,,,34184029,-119228526,,,,,,,1129,266,,61110036.09,13150,2061,762930,97106,6,,1,,,,,1991,1,,522030,1044060,2016,522030,12738.54,,,61110036093023,-0.09534021357
11751866,,,,4,6,,6,4,,,3435,,,3435,,,6037,,4,,,,,34055236,-118346239,6332,,,,,,200,246,LAR2,60372162,12447,3101,274514,96000,0,,,,2,,,1928,,,211946,1118617,2016,906671,13541.94,,,60372162002000,-0.07980346679
13007403,1,,,3,3,,8,3,,,2380,2380,,,,,6037,,3,,,,2,34104778,-118056266,9960,,,,,,101,261,TCR1*,60374320,14111,3101,,96517,0,,,,1,,,1991,,,355521,654279,2016,298758,7676.28,,,60374320004007,-0.0287186946
14452416,,,,4,4,,,4,,,3415,3415,,,,,6059,,4,2,589,,,33463484,-117591802,6185,,,,,,122,261,,60590320.23,13693,1286,,96983,0,,,,,,,1999,,,407542,579059,2016,171517,9018.36,,,60590320231034,0.01930209225
14728092,,,,1,1,,,1,,,702,702,,,,,6059,,1,1,0,,,33724500,-117918000,,,,,,,34,266,,60590992.27,8384,1286,,97008,0,,,,,,,1983,,,55630,258883,2016,203253,3060.92,,,60590992272022,-0.04608357413
14448439,,,,2,2,,,2,,,1367,1367,,,,,6059,,2,2,504,,,33443917,-117638959,6000,,,,,,122,261,,60590421.06,13693,1286,,96982,6,,,,,,,2014,1,,182501,815542,2016,633041,8272.94,,,60590421061001,0.01498374384
12464464,,,,2,2,,7,2,,,1814,1814,,,,,6037,,2,,,,2,33833199,-118191488,5372,,,,,,100,261,LBR1L,60375718,46298,3101,274358,96241,0,,,,1,,,1962,,,164600,310117,2016,145517,3749.29,,,60375718001004,-0.04975211345
12691507,,,,1,0,,8,1,,,440,440,,,,,6037,,1,,,,7,33785200,-118342000,433845,1,,,,1,010E,266,LCR3*,60376702.01,,3101,,96121,0,,,,1,,,1973,,,81400,260000,2016,178600,3482.62,,,60376702012012,0.06985778842
12840475,,,,1,2,,4,1,,,928,928,,,,,6037,,1,,,,7,34049695,-117936204,13360,,,,,,100,261,LCA11L,60374075.02,118694,3101,,96488,0,,,,1,,,1948,,,98550,241624,2016,143074,3083.24,,,60374075023000,0.05542124185
14607408,,,,1,1,,,1,,,745,745,,,,,6059,,1,2,0,,,33780300,-117942000,,,,,,,34,266,,60590886.01,24832,1286,,97047,0,,,,,,,1983,,,55478,227309,2016,171831,2905.58,,,60590886012000,0.01548392291
13091973,1,,,2,3,,8,2,,,1463,1463,,,,,6037,,2,,,,2,34023488,-117884178,12113,,,,,,100,261,WARPD14800,60374034.08,34636,3101,,96522,0,,,,1,,,1984,,,166425,200726,2016,34301,3015.21,,,60374034083012,-0.005656792255
14432426,,,,2,3,,,2,,,1481,1481,,,,,6059,1,2,2,452,,,33479611,-117688280,10112,,,,,,122,261,,60590423.11,17686,1286,,96961,6,,,,,,,1962,1,,98445,606645,2016,508200,6760.54,,,60590423114001,-0.02606467167
11016518,,,,2,4,,8,2,,,1625,1625,,,,,6037,,2,,,,2,34282275,-118492692,8427,,,,,,100,261,LARS,60371066.46,12447,3101,31817,96370,0,,,,1,,,1956,,,54667,97097,2016,42430,1307.93,,,60371066461002,-0.06046975274
14434171,,,,6.5,5,,,6.5,,,9586,9586,,,,,6059,,6,4,1114,TRUE,,33496171,-117699380,30000,1,,,1,,122,261,,60590423.32,25459,1286,,96987,0,,1,,,,,1992,,,1708622,3624442,2016,1915820,38491.98,,,60590423322002,0.06395675441
11782783,1,,,3,3,,,3,,,1820,1820,,,,,6037,,3,,,,2,34053100,-118266000,71332,1,,,,1,010C,266,LACW,60372091.02,12447,3101,276023,95998,0,,,,1,,,2006,,,571105,853937,2016,282832,10296.58,,,60372091022007,0.02906454922
11018202,,,,1,2,,4,1,,,812,812,,,,,6037,,1,,,,7,34276431,-118447368,7150,,,,,,100,261,LAR1,60371095,12447,3101,116646,96366,0,,,,1,,,1917,,,21513,40746,2016,19233,668.7,,,60371095003018,0.02126245785
10808296,1,,,3,3,,8,3,,,2406,2406,,,,,6037,,3,,,,2,34165555,-118602948,7245,,,,,,100,261,LAR1,60371375.02,12447,3101,48570,96387,0,,,,1,,,1979,,,289137,605540,2016,316403,7345.85,,,60371375023002,0.008474986274
11023776,,,,1,2,,4,1,,,776,776,,,,,6037,,1,,,,7,34250870,-118421788,7055,,,,,,100,261,LAR1,60371045,12447,3101,40215,96361,0,,,,1,,,1946,,,38030,164836,2016,126806,2086.91,Y,15,60371045002008,0.09313410827
12871444,,,,2,3,,4,2,,,1059,1059,,,,,6037,,2,,,,2,34083661,-117735137,7215,,,,,,100,261,POR17200*,60374021.01,20008,3101,,96507,0,,,,1,,,1955,,,51776,187119,2016,135343,2481.45,,,60374021012005,0.03626278221
14602058,,,,2.5,3,,,2.5,,,1970,1970,,,,,6059,,2,1,0,,,33663239,-117610568,,,,,,,34,266,,60590320.49,15554,1286,,96993,0,,1,,,,,1997,,,231667,625388,2016,393721,9160.92,,,60590320491004,0.01752410164
12879860,,,,1,2,,4,1,,,1046,1046,,,,,6037,,1,,,,7,34051974,-117739351,,,,,,,100,261,POR31000*,60374028.01,20008,3101,,96506,0,,,,1,,,1885,,,46400,232000,2016,185600,3002.3,Y,9,60374028012013,0.0001606844364
13069118,1,,,4,5,,7,4,,,5900,5900,,,,,6037,,4,,,,2,34032773,-117841456,35174,,,,,,100,261,WAC3*,60374034.03,34636,3101,,96522,0,,,,1,,,1989,,,559288,737397,2016,178109,8924.13,,,60374034033011,-0.00637046141
13055657,1,,,5,5,,9,5,,,5823,5823,,,,,6037,,5,,,,2,34150178,-117757564,10010,1,,,,1,101,261,LVRSP87-19,60374002.07,39308,3101,,96494,0,,,,1,,,1998,,,619761,852836,2016,233075,10295.58,,,60374002071023,0.0551647919
12481281,,,,2,3,,4,2,,,1457,1457,,,,,6037,,2,,,,7,33866396,-118138920,5457,1,,,,1,101,261,LKR1YY,60375700.03,12292,3101,,96212,0,,,,1,,,1944,,,69302,334119,2016,264817,4033.54,,,60375700032003,-0.03340371117
11693504,,,,3,3,,3,3,,,3626,,,3626,,,6037,,3,,,,,33991167,-118284769,5625,,,,,,300,247,LAR2,60372327,12447,3101,118208,96018,0,,,,3,,,1919,,,144120,419155,2016,275035,5239.58,,,60372327001005,-0.07206845567
17153706,,,,2.5,2,,,2.5,,1442,1442,1442,,,1442,,6111,1,2,1,0,,,34189258,-119227797,,,,,,,1129,266,,61110036.09,13150,2061,762930,97106,4,,1,,,,,2007,1,,358000,597000,2016,239000,8442.56,,,61110036093015,0.02781747363
10736968,1,,,4,4,,7,4,,,3721,3721,,,,,6037,,4,,,,2,34156698,-118667343,50708,1,,,,1,101,261,HHRAS1*,60378002.03,38980,3101,,96337,0,,,,1,,,1963,,,372374,1289594,2016,917220,14745.19,,,60378002031012,0.1160606424
11154042,1,,,1,1,,6,1,,,662,662,,,,,6037,,1,,,,2,34415100,-118446000,91867,1,,,,1,010C,266,SCUR3,60379200.37,54311,3101,37739,96401,0,,,,1,,,1984,,,77055,96318,2016,19263,1641.9,,,60379200371004,-0.06014442243
14191835,,,,2,3,,,2,,,1152,1152,,,,,6059,1,2,2,460,,,33897641,-117783381,8597,,,,,,122,261,,60590218.23,21412,1286,,97078,6,,,,,,,1971,1,,64406,218510,2016,154104,2800.12,,,60590218231039,0.01528134197
10935174,1,,,2,3,,8,2,,,1607,1607,,,,,6037,,2,,,,2,34127388,-118347719,10520,,,,,,100,261,LAR1,60371437,12447,3101,274049,96049,0,,,,1,,,1939,,,192643,963231,2016,770588,11648.69,,,60371437002002,0.00863816729
14284348,,,,2.5,3,,,2.5,,,2283,2283,,,,,6059,,2,2,491,,,33715432,-117819225,3112,,,,,,1,261,,60590755.15,27491,1286,,97018,0,,1,,,,,2006,,,377170,730498,2016,353328,13310.5,,,60590755154054,0.009611161706
12579560,,,,1,2,,4,1,,,1027,1027,,,,,6037,,1,,,,7,33816016,-118271776,5574,,,,,,100,261,CARS*,60375437.03,10723,3101,,96229,0,,,,1,,,1951,,,27521,49034,2016,21513,1179.11,,,60375437025006,-0.02572084233
14201161,,,,3,5,,,3,,,2453,2453,,,,,6059,,3,2,636,,,33874367,-117714102,5610,,,,,,122,261,,60590218.26,21412,1286,,97079,0,,,,,,,1999,,,341362,473286,2016,131924,5764.04,,,60590218262000,-0.01899892527
11941294,1,,,3,3,,6,3,,,1236,1236,,,,,6037,,3,,,,2,34090000,-118260000,35886,,,,,,010C,266,LARD2,60371955,12447,3101,268473,96020,0,,,,1,,,1991,,,145768,588514,2016,442746,7140.91,,,60371955002003,0.08725021573
17229300,,,,2.5,2,,,2.5,,611,1164,1164,,,611,,6111,1,2,2,0,,,34281200,-118778000,,,,,,,1129,266,,61110079.01,27110,2061,,97118,4,,1,,,,,1985,2,,144383,240632,2016,96249,2639.36,,,61110079011003,-0.01768385825
10925280,,,,1,2,,4,1,,,1121,1121,,,,,6037,,1,,,,7,34185108,-118354397,6055,,,,,,100,261,BUR1YY,60373111,396054,3101,,96437,0,,,,1,,,1940,,,42238,72867,2016,30629,823.25,Y,15,60373111001025,-0.004620658256
12218511,,,,1,2,,4,1,,,847,847,,,,,6037,,1,,,,7,33951761,-118258397,5025,,,,,,100,261,LAR1,60372407,12447,3101,268496,95983,0,,,,1,,,1938,,,82428,214354,2016,131926,2877.86,,,60372407003001,0.03733317399
14121694,,,,2,4,,,2,,,1266,1266,,,,,6059,1,2,2,441,,,33840077,-118050373,7200,1,,,,1,122,261,,60591101.11,44833,1286,,96185,6,,,,,,,1961,1,,76798,465990,2016,389192,5387.9,,,60591101111008,-0.03301670609
11637056,1,,,2,1,,7,2,,,1164,1164,,,,,6037,,2,,,,2,34072800,-118393000,37501,1,,,,1,010C,266,BHR4*,60377008.01,10389,3101,,96086,0,,,,1,,,1974,,,217263,654835,2016,437572,7656.41,,,60377008011036,0.03336805741
14748072,,,,2.5,3,,,2.5,,,1968,1968,,,,,6059,,2,2,0,,,33808483,-118071902,,,,,,,1,266,,60591101.08,46314,1286,,96218,0,,1,,,,,2013,,,283214,744043,2016,460829,8486.7,,,60591101083005,0.05819984099
12227278,,,,1,2,,4,1,,,1070,1070,,,,,6037,,1,,,,7,33941284,-118284042,4829,,,,,,100,261,LAR1,60372412.01,12447,3101,118208,96025,0,,,,1,,,1937,,,85293,141693,2016,56400,1862.11,,,60372412012002,-0.1475916359
14265422,,,,0,0,,,,,,4198,,,,,4198,6059,,,1,0,,,33712800,-117883000,6187,,,,,,96,248,,60590740.05,47568,1286,268509,97007,0,,,,4,,,1977,2,,224664,480448,2016,255784,6309.42,,,60590740051008,0.3134033659
14249444,,,,1.5,3,,,1.5,,,1360,1360,,,,,6059,,1,2,420,,,33773127,-117849886,3549,1,,,,1,122,261,,60590754.04,47568,1286,,97005,6,,1,,,,,1971,2,,82177,265259,2016,183082,3084.94,,,60590754042003,0.02094998593
12556624,,,,2,2,,8,2,,,949,949,,,,,6037,,2,,,,7,33768700,-118172000,15060,,,,,,010E,266,LBR2N,60375765.02,46298,3101,416302,96236,0,,,,1,,,1964,,,86073,105933,2016,19860,1328.48,,,60375765023005,0.03137275518
11652563,,,,2,2,,8,2,,,1810,1810,,,,,6037,,2,,,,2,34109545,-118446544,7210,,,,,,100,261,LARE15,60372612,12447,3101,113749,96058,0,,,,1,,,1956,,,71393,144688,2016,73295,1874.26,,,60372612001066,0.0332333804
